date,vaccines,tests,confirmed,recovered,deaths,hosp,vent,icu,population,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,stringency_index,iso_alpha_3,iso_alpha_2,iso_numeric,currency,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,key,key_google_mobility,key_apple_mobility,key_numeric,key_alpha_2
2020/11/18,0,19424942,1069517,0,18467,5275,0,1252,39512223,3,2,2,3,0,1,1,3,2,3,2,58.8,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/11/19,0,19649202,1082674,0,18555,5432,0,1332,39512223,3,2,2,3,0,1,1,3,2,3,2,58.8,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/11/20,0,19884710,1096401,0,18649,5674,0,1324,39512223,3,2,2,3,0,1,1,3,2,3,2,58.8,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/11/21,0,20098452,1109844,0,18709,5879,0,1386,39512223,3,2,2,3,0,2,1,3,2,3,2,60.65,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/11/22,0,20278030,1118652,0,18726,6192,0,1443,39512223,3,2,2,3,0,2,1,3,2,3,2,60.65,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/11/23,0,20434459,1136467,0,18768,6540,0,1512,39512223,3,2,2,3,0,2,1,3,2,3,2,60.65,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/11/24,0,20642356,1153005,0,18875,6976,0,1548,39512223,3,2,2,3,0,2,1,3,2,3,2,60.65,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/11/25,0,20893423,1167149,0,18982,7136,0,1607,39512223,3,2,2,3,0,2,1,3,2,3,2,60.65,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/11/26,0,21091047,1176137,0,19025,7343,0,1712,39512223,3,2,2,3,0,2,1,3,2,3,2,60.65,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/11/27,0,21256126,1193071,0,19100,7637,0,1751,39512223,3,2,2,3,0,2,1,3,2,3,2,60.65,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/11/28,0,21394735,1206278,0,19132,8152,0,1810,39512223,3,2,2,3,0,2,1,3,2,3,2,60.65,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/11/29,0,21520778,1219496,0,19151,8493,0,1907,39512223,3,2,2,3,0,2,1,3,2,3,2,60.65,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/11/30,0,21716723,1237192,0,19209,8933,0,1990,39512223,3,2,2,4,0,2,1,3,2,3,2,63.43,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/12/1,0,21960143,1253867,0,19327,9177,0,2106,39512223,3,2,2,4,0,2,1,3,2,3,2,63.43,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/12/2,0,22216308,1272041,0,19440,9534,0,2130,39512223,3,2,2,4,0,2,1,3,2,3,2,63.43,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/12/3,0,22502192,1293887,0,19586,9837,0,2244,39512223,3,2,2,4,0,2,1,3,2,3,2,63.43,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
